SCaNombre,hogares_cs
SAN BERNARDO,19
SANTA FE,19
ZONA FRANCA,19
BARLOVENTO,18
VILLA DEL CERRO,18
MONTEBELLO,17
RINCON DE SUBA,17
NUEVA YORK,17
CHICALA,16
SAN MARTIN,16
SABANA GRANDE,16
BELEN,16
LA CABANA,16
EL JARDIN,15
CIUDAD BACHUE II,15
PUENTE COLORADO,15
ALTOS DEL POBLADO,15
ISLANDIA,14
EL POA,14
BRISAS ALDEA FONTIBON,14
CARMEN DEL SOL,14
EL RUBI,14
LAS FLORES,14
VILLA DE LOS ALPES I,13
CASA BLANCA SUBA I,13
TIBABITA,13
TAIRONA,12
RENANIA URAPANES,12
EL PORTAL DEL BRASIL,12
LAS BRISAS,12
SUBA URBANO,12
MEISSEN,11
ESTACION CENTRAL,11
VILLA NELLY III SECTOR,11
HIPOTECHO OCCIDENTAL,11
CIUDAD TECHO II,11
SAN RAFAEL USME,11
CHARLES DE GAULLE,11
CARACAS,10
MUZU,10
ALTOS DEL ZUQUE,10
EL VERGEL,10
ANTONIA SANTOS,9
LA GRANJA NORTE,9
EL TOBERIN,9
TUNA ALTA,9
MARCO FIDEL SUAREZ,8
VERBENAL SAN ANTONIO,8
SAN JORGE SUR,8
SAN LUIS,8
LA PICOTA ORIENTAL,8
ALTOS DE CHOZICA,8
GUIPARMA,8
ALMIRANTE COLON,8
LOS ARRAYANES II,7
LA VALVANERA,7
SAN GABRIEL NORTE,7
SIERRA MORENA,7
SAN BERNARDINO POTRERITOS,7
ISMAEL PERDOMO,7
EL RINCON NORTE,7
YOMASA,6
LUCERO ALTO,6
LA PENA,6
LA SABANA,6
LAS GAVIOTAS,6
LA PAMPA,6
LA SERENA,6
SAN VICTORINO,5
GUSTAVO RESTREPO,5
ESCUELA DE CARABINEROS,5
CLUB DE LOS LAGARTOS,5
CORABASTOS,5
SAN EUSEBIO,5
SIBERIA URBANO,5
CAMPANELLA,5
CANAIMA,5
VEREDA SUBA NARANJOS,4
SAN PEDRO DE LOS ROBLES,4
CLARET,4
EL MINUTO DE DIOS,4
MADELENA,4
MORAVIA,4
LAS DELICIAS,4
HIPOTECHO,4
INGLES,4
BOSQUE DE PINOS III,4
BOSQUES DE SAN JORGE,4
SANTA LUCIA,3
BUENAVISTA,3
GUADUAL FONTIBON,3
