dane12_ee,nom_establecimiento_educativo,nom_localidad,estudiantes_oficiales
111001013102,COLEGIO SAN PEDRO CLAVER (IED),KENNEDY,2351
111001046957,COLEGIO TOBERIN (IED),USAQUEN,2342
111001094889,COLEGIO LA TOSCANA - LISBOA (IED),SUBA,2322
111001104388,COLEGIO GONZALO ARANGO (IED),SUBA,2299
111001045730,COLEGIO EL PARAISO DE MANUELA BELTRAN (IED),CIUDAD BOLIVAR,2297
111001083011,COLEGIO MIGUEL DE CERVANTES SAAVEDRA (IED),USME,2290
111001109550,COLEGIO RODOLFO LLINAS (IED),ENGATIVA,2287
111001018201,COLEGIO RUFINO JOSE CUERVO (IED),TUNJUELITO,2269
111001100048,COLEGIO HERNANDO DURAN DUSSAN (IED),KENNEDY,2233
111001009652,COLEGIO CENTRO INTEGRAL JOSE MARIA CORDOBA (IED),TUNJUELITO,2231
111850001428,COLEGIO ALMIRANTE PADILLA (IED),USME,2226
111001020320,COLEGIO ISMAEL PERDOMO (IED),CIUDAD BOLIVAR,2205
111001092410,COLEGIO LA ESTANCIA - SAN ISIDRO LABRADOR (IED),CIUDAD BOLIVAR,2195
111001107743,COLEGIO ALAMEDA NORTE (IED),USAQUEN,2187
111001014214,COLEGIO CIUDAD DE BOGOTA (IED),TUNJUELITO,2180
111001104353,COLEGIO CIUDAD DE VILLAVICENCIO (IED),USME,2173
111001107778,COLEGIO CALANDAIMA (IED),KENNEDY,2171
111001015598,COLEGIO LAS AMERICAS (IED),KENNEDY,2150
111769000174,COLEGIO FILARMONICO SIMON BOLIVAR (IED),SUBA,2143
111001104256,COLEGIO DELIA ZAPATA OLIVELLA (IED),SUBA,2140
111001029955,COLEGIO AGUSTIN FERNANDEZ (IED),USAQUEN,2133
111001024660,COLEGIO FERNANDO SOTO APARICIO (IED),KENNEDY,2132
111001013153,COLEGIO PAULO VI (IED),KENNEDY,2103
111001094439,COLEGIO FERNANDO GONZALEZ OCHOA (IED),USME,2099
111001014176,COLEGIO TECNICO SAN CRISTOBAL SUR (IED),SAN CRISTOBAL,2098
111001002330,COLEGIO LA GAITANA (IED),SUBA,2095
111001086584,COLEGIO CONFEDERACION BRISAS DEL DIAMANTE (IED),CIUDAD BOLIVAR,2094
111001035602,COLEGIO JUAN EVANGELISTA GOMEZ (IED),SAN CRISTOBAL,2093
111001016071,COLEGIO ISABEL II (IED),KENNEDY,2087
111001801098,COLEGIO CIUDADELA EL RECREO SONIA OSORIO DE SAINT-MALO (IED),BOSA,2076
111001006483,COLEGIO ANTONIO NARIÃO (IED),ENGATIVA,2067
111001108901,COLEGIO CHARRY (IED),ENGATIVA,2066
111279000061,COLEGIO ANTONIO VAN UDEN (IED),FONTIBON,2063
111850000740,COLEGIO FRANCISCO ANTONIO ZEA DE USME (IED),USME,2062
111001030848,COLEGIO ARBORIZADORA BAJA (IED),CIUDAD BOLIVAR,2061
111001026964,COLEGIO JOHN F. KENNEDY (IED),KENNEDY,2057
111001104272,COLEGIO CARLO FEDERICI (IED),FONTIBON,2055
111001013129,COLEGIO CLASS (IED),KENNEDY,2048
111001801101,COLEGIO LAURA HERRERA DE VARELA (IED),BOSA,2045
111001011321,COLEGIO CARLOS ARTURO TORRES (IED),KENNEDY,2017
111001012602,COLEGIO ATANASIO GIRARDOT (IED),ANTONIO NARIÃO,2017
111001014486,COLEGIO REPUBLICA DE MEXICO (IED),CIUDAD BOLIVAR,2015
111001033898,COLEGIO MANUEL ZAPATA OLIVELLA (IED),KENNEDY,2006
111001001538,COLEGIO NUEVA CONSTITUCION (IED),ENGATIVA,1996
111001107832,COLEGIO GERMAN ARCINIEGAS (IED),BOSA,1995
111001033928,COLEGIO EL TESORO DE LA CUMBRE (IED),CIUDAD BOLIVAR,1990
111001108456,COLEGIO TOMAS CIPRIANO DE MOSQUERA (IED),ENGATIVA,1984
111001012343,COLEGIO TOM ADAMS (IED),KENNEDY,1974
111001010928,COLEGIO RESTREPO MILLAN (IED),RAFAEL URIBE URIBE,1963
111001014290,COLEGIO MARSELLA (IED),KENNEDY,1959
111001107069,COLEGIO VIRGINIA GUTIERREZ DE PINEDA (IED),SUBA,1952
111001096555,COLEGIO CIUDAD BOLIVAR - ARGENTINA (IED),CIUDAD BOLIVAR,1951
111001001279,COLEGIO DARIO ECHANDIA (IED),KENNEDY,1941
111769003122,COLEGIO VILLA ELISA (IED),SUBA,1929
111001107786,COLEGIO NICOLAS BUENAVENTURA (IED),SUBA,1915
111001011690,COLEGIO LA AMISTAD (IED),KENNEDY,1910
111001086614,COLEGIO CHUNIZA (IED),USME,1903
111001030872,COLEGIO ESTANISLAO ZULETA (IED),USME,1898
111001032450,COLEGIO BERNARDO JARAMILLO (IED),TUNJUELITO,1882
111001014346,COLEGIO RODRIGO ARENAS BETANCOURT (IED),FONTIBON,1854
111850001576,COLEGIO FEDERICO GARCIA LORCA (IED),USME,1835
111001020168,COLEGIO SORRENTO (IED),PUENTE ARANDA,1834
211102000201,COLEGIO SAN BERNARDINO (IED),BOSA,1815
111001030830,COLEGIO UNION EUROPEA (IED),CIUDAD BOLIVAR,1814
111001012271,COLEGIO RAFAEL URIBE URIBE (IED),TUNJUELITO,1807
111001098833,COLEGIO SAN CAYETANO (IED),USME,1791
111001013170,COLEGIO SAN RAFAEL (IED),KENNEDY,1780
111001009971,COLEGIO REPUBLICA DE COLOMBIA (IED),ENGATIVA,1778
111001000124,COLEGIO CARLOS ARANGO VELEZ (IED),KENNEDY,1778
111001041475,COLEGIO SAN JOSE DE CASTILLA (IED),KENNEDY,1776
111001109304,COLEGIO FANNY MIKEY (IED),CIUDAD BOLIVAR,1768
111001033979,COLEGIO GARCES NAVAS (IED),ENGATIVA,1765
111102000958,COLEGIO PORFIRIO BARBA JACOB (IED),BOSA,1759
111001110477,COLEGIO NELSON MANDELA (IED),KENNEDY,1755
111001027332,COLEGIO GUSTAVO RESTREPO (IED),RAFAEL URIBE URIBE,1754
111279000362,COLEGIO COSTA RICA (IED),FONTIBON,1754
111848003031,COLEGIO CRISTOBAL COLON (IED),USAQUEN,1751
111001027383,COLEGIO ALFREDO IRIARTE (IED),RAFAEL URIBE URIBE,1743
111001015601,COLEGIO O.E.A. (IED),KENNEDY,1740
211850001317,COLEGIO RURAL JOSE CELESTINO MUTIS (IED),CIUDAD BOLIVAR,1737
111848002662,COLEGIO USAQUEN (IED),USAQUEN,1735
111001079154,COLEGIO VILLA RICA (IED),KENNEDY,1727
111001014524,COLEGIO RAFAEL URIBE URIBE (IED),CIUDAD BOLIVAR,1724
111001015458,COLEGIO FLORIDABLANCA (IED),ENGATIVA,1718
111001075515,COLEGIO GUSTAVO MORALES MORALES (IED),SUBA,1713
111001044270,COLEGIO LOS COMUNEROS - OSWALDO GUAYASAMIN (IED),USME,1705
111001104337,COLEGIO EDUARDO UMAÃA MENDOZA (IED),USME,1688
111001011029,COLEGIO REINO DE HOLANDA (IED),RAFAEL URIBE URIBE,1675
111001014206,COLEGIO MARCO FIDEL SUAREZ (IED),TUNJUELITO,1671
111001098906,COLEGIO EDUARDO UMAÃA LUNA (IED),KENNEDY,1661
211850000051,COLEGIO GRAN YOMASA (IED),USME,1658
111001075957,COLEGIO SAN CARLOS (IED),TUNJUELITO,1658
111001075663,COLEGIO ESTRELLA DEL SUR (IED),CIUDAD BOLIVAR,1652
111001027251,COLEGIO LEON DE GREIFF (IED),CIUDAD BOLIVAR,1651
111001030856,COLEGIO PANAMERICANO (IED),LOS MARTIRES,1650
111001107794,COLEGIO MARIA CANO (IED),RAFAEL URIBE URIBE,1632
111265000343,COLEGIO ANTONIO VILLAVICENCIO (IED),ENGATIVA,1614
111001012483,COLEGIO TABORA (IED),ENGATIVA,1609
111001102199,COLEGIO PABLO NERUDA (IED),FONTIBON,1603
111001801268,COLEGIO TERESA MARTINEZ DE VARELA (IED),KENNEDY,1596
111001012360,COLEGIO EL JAPON (IED),KENNEDY,1594
111001041611,COLEGIO DIANA TURBAY (IED),RAFAEL URIBE URIBE,1593
111001018058,COLEGIO ALEXANDER FLEMING (IED),RAFAEL URIBE URIBE,1590
111001800422,COLEGIO ROGELIO SALMONA (IED),CIUDAD BOLIVAR,1577
111001801276,COLEGIO MARIA CURREA MANRIQUE (IED),CIUDAD BOLIVAR,1573
111001046591,COLEGIO JOSE ANTONIO GALAN (IED),BOSA,1569
111001800457,COLEGIO BICENTENARIO DE LA INDEPENDENCIA (IED),BOSA,1566
111001015814,COLEGIO REPUBLICA DE CHINA (IED),ENGATIVA,1561
111001801322,COLEGIO MARIA JOSEFA CANELONES (IED),FONTIBON,1556
111001016292,COLEGIO KENNEDY (IED),KENNEDY,1554
111001013820,COLEGIO SANTA LIBRADA (IED),USME,1536
111001016136,COLEGIO LA CHUCUA (IED),KENNEDY,1527
111001018368,COLEGIO LA VICTORIA (IED),SAN CRISTOBAL,1526
111001018333,COLEGIO EL RODEO (IED),SAN CRISTOBAL,1503
111001034754,COLEGIO COMPARTIR RECUERDO (IED),CIUDAD BOLIVAR,1485
111001010910,COLEGIO NACIONAL NICOLAS ESGUERRA (IED),KENNEDY,1478
111001036765,COLEGIO JOSE MARTI (IED),RAFAEL URIBE URIBE,1464
111001033901,COLEGIO CAMPESTRE MONTE VERDE (IED),CHAPINERO,1464
111001086649,COLEGIO ALFONSO LOPEZ PUMAREJO (IED),KENNEDY,1451
111001014591,COLEGIO MANUEL DEL SOCORRO RODRIGUEZ (IED),RAFAEL URIBE URIBE,1445
111769004188,COLEGIO HUNZA (IED),SUBA,1433
111001092983,COLEGIO VISTA BELLA (IED),SUBA,1416
111001102008,COLEGIO JUAN LUIS LONDOÃO (IED),USME,1410
111001100030,COLEGIO LA GIRALDA (IED),SANTA FE,1407
111769001871,COLEGIO NUEVA ZELANDIA (IED),SUBA,1400
111001016039,COLEGIO ORLANDO FALS BORDA (IED),USME,1389
111001027405,COLEGIO JAIRO ANIBAL NIÃO (CED),KENNEDY,1382
111001100072,COLEGIO SANTIAGO DE LAS ATALAYAS (IED),BOSA,1378
111001014664,COLEGIO EL LIBERTADOR (IED),RAFAEL URIBE URIBE,1376
111001045705,COLEGIO LA AURORA (IED),USME,1371
111001078930,COLEGIO LA PAZ (IED),RAFAEL URIBE URIBE,1356
111001017795,COLEGIO MAGDALENA ORTEGA DE NARIÃO (IED),ENGATIVA,1354
111001013323,COLEGIO INTEGRADA LA CANDELARIA (IED),LA CANDELARIA,1353
111001100056,COLEGIO JAIME HERNANDO GARZON FORERO (IED),KENNEDY,1351
111001014168,COLEGIO ALTAMIRA SUR ORIENTAL (IED),SAN CRISTOBAL,1350
111001104051,COLEGIO SAN IGNACIO (IED),BOSA,1348
111265000017,COLEGIO LA PALESTINA (IED),ENGATIVA,1335
111001102091,COLEGIO COLOMBIA VIVA (IED),RAFAEL URIBE URIBE,1333
111265000408,COLEGIO NIDIA QUINTERO DE TURBAY (IED),ENGATIVA,1328
111001019526,COLEGIO LICEO NACIONAL ANTONIA SANTOS (IED),LOS MARTIRES,1323
111001010421,COLEGIO JORGE ELIECER GAITAN (IED),BARRIOS UNIDOS,1319
111001009521,COLEGIO ROBERT F. KENNEDY (IED),ENGATIVA,1317
111001032255,COLEGIO TOMAS CARRASQUILLA (IED),BARRIOS UNIDOS,1296
111769000956,COLEGIO PRADO VERANIEGO (IED),SUBA,1291
111001012815,COLEGIO QUIROGA ALIANZA (IED),RAFAEL URIBE URIBE,1288
111001012335,COLEGIO JUANA ESCOBAR (IED),SAN CRISTOBAL,1286
111001065056,COLEGIO LUIS CARLOS GALAN SARMIENTO (IED),PUENTE ARANDA,1281
111001012530,COLEGIO EL JAZMIN (IED),PUENTE ARANDA,1274
111001011045,COLEGIO SILVERIA ESPINOSA DE RENDON (IED),PUENTE ARANDA,1270
111001012611,COLEGIO BRAVO PAEZ (IED),RAFAEL URIBE URIBE,1262
211102000995,COLEGIO BOSANOVA (IED),BOSA,1261
111001104043,COLEGIO JOSE MARIA VELAZ (IED),SUBA,1260
111001011274,COLEGIO ANDRES BELLO (IED),PUENTE ARANDA,1258
111001086754,COLEGIO LA CONCEPCION (IED),BOSA,1247
111769001502,COLEGIO ANIBAL FERNANDEZ DE SOTO (IED),SUBA,1242
111001098825,COLEGIO SAN VICENTE (IED),SAN CRISTOBAL,1241
111001044806,COLEGIO FRIEDRICH NAUMANN (IED),USAQUEN,1240
111001100064,COLEGIO ARGELIA (IED),BOSA,1240
111001034045,COLEGIO LA FLORESTA SUR (IED),KENNEDY,1228
111001098612,COLEGIO LA ESTRELLITA (IED),USAQUEN,1223
111001100081,COLEGIO MIRAVALLE (IED),USME,1222
111001029114,COLEGIO JACKELINE (IED),KENNEDY,1217
111001032280,COLEGIO TECNICO TOMAS RUEDA VARGAS (IED),SAN CRISTOBAL,1215
111001010731,COLEGIO MANUELA BELTRAN (IED),TEUSAQUILLO,1213
111001012963,COLEGIO TECNICO BENJAMIN HERRERA (IED),PUENTE ARANDA,1211
111001015903,COLEGIO MONTEBELLO (IED),SAN CRISTOBAL,1210
111001015776,COLEGIO INSTITUTO TECNICO DISTRITAL JULIO FLOREZ (IED),SUBA,1209
111001027324,COLEGIO FLORENTINO GONZALEZ (IED),SAN CRISTOBAL,1207
111001098892,COLEGIO BELLAVISTA (IED),KENNEDY,1207
111001028380,COLEGIO PALERMO SUR (CED),RAFAEL URIBE URIBE,1206
111001046299,COLEGIO MANUELA AYALA DE GAITAN (IED),ENGATIVA,1204
111001025216,COLEGIO VILLA AMALIA (IED),ENGATIVA,1201
111001046485,COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED),USME,1201
111001098922,COLEGIO LAS MERCEDES (IED),ENGATIVA,1199
111001098949,COLEGIO BILBAO (IED),SUBA,1193
111001016101,COLEGIO LOS PERIODISTAS (IED),KENNEDY,1191
111001018384,COLEGIO SAN ISIDRO SUR ORIENTAL (IED),SAN CRISTOBAL,1182
111279001296,COLEGIO ATAHUALPA (IED),FONTIBON,1177
111102000621,COLEGIO FRANCISCO DE PAULA SANTANDER (IED),BOSA,1171
111001011053,COLEGIO GUILLERMO LEON VALENCIA (IED),ANTONIO NARIÃO,1169
111001014885,COLEGIO JULIO GARAVITO ARMERO (IED),PUENTE ARANDA,1161
111001078638,COLEGIO EL VIRREY JOSE SOLIS (IED),USME,1159
111001098817,COLEGIO NUEVA ROMA (IED),SAN CRISTOBAL,1159
111001100013,COLEGIO BUENAVISTA (IED),CIUDAD BOLIVAR,1155
111001026069,COLEGIO TECNICO MENORAH (IED),LOS MARTIRES,1147
111001800813,COLEGIO COMPARTIR SUBA (IED),SUBA,1143
111001094897,COLEGIO TECNICO PALERMO (IED),TEUSAQUILLO,1141
211850001171,COLEGIO RURAL QUIBA ALTA (IED),CIUDAD BOLIVAR,1139
111001015172,COLEGIO ALEJANDRO OBREGON (IED),RAFAEL URIBE URIBE,1138
111001801349,COLEGIO ELISA MUJICA VELASQUEZ (IED),SUBA,1137
111001077917,COLEGIO BRASILIA - USME (IED),USME,1136
111001800384,COLEGIO JORGE ISAACS (IED),BOSA,1120
211001032501,COLEGIO GABRIEL GARCIA MARQUEZ (IED),USME,1116
111001027308,COLEGIO PROSPERO PINZON (IED),KENNEDY,1111
111001098841,COLEGIO SAN JOSE DE USME (IED),USME,1110
111001098850,COLEGIO CHUNIZA FAMACO (IED),USME,1110
111001016772,COLEGIO SAN FRANCISCO DE ASIS (IED),LOS MARTIRES,1109
111001020095,COLEGIO MISAEL PASTRANA BORRERO (IED),RAFAEL URIBE URIBE,1109
111001098965,COLEGIO SANTA LUCIA (IED),RAFAEL URIBE URIBE,1108
111001098931,COLEGIO TORQUIGUA (IED),ENGATIVA,1106
111001086720,COLEGIO TECNICO JAIME PARDO LEAL (IED),ANTONIO NARIÃO,1083
111001045535,COLEGIO JOSE MANUEL RESTREPO (IED),PUENTE ARANDA,1076
111001012459,COLEGIO SAN JOSE NORTE (IED),ENGATIVA,1074
111001014826,COLEGIO MARCO ANTONIO CARREÃO SILVA (IED),PUENTE ARANDA,1073
111001036561,COLEGIO JOSE JAIME ROJAS (IED),CIUDAD BOLIVAR,1070
