dane12_ee,nom_establecimiento_educativo,nom_localidad,estudiantes_oficiales
111001015806,COLEGIO JORGE GAITAN CORTES (IED),ENGATIVA,814
111001016250,COLEGIO REPUBLICA BOLIVARIANA DE VENEZUELA (IED),LOS MARTIRES,792
111850001461,COLEGIO LOS TEJARES (IED),USME,788
211850000931,COLEGIO BRAZUELOS (IED),USME,786
111001014630,COLEGIO FRANCISCO DE PAULA SANTANDER (IED),ANTONIO NARIÃO,786
111001047457,COLEGIO LA ARABIA (IED),CIUDAD BOLIVAR,785
111001086789,COLEGIO RAFAEL NUÃEZ (IED),SAN CRISTOBAL,776
111001011771,COLEGIO JOSE ASUNCION SILVA (IED),ENGATIVA,776
111001001121,COLEGIO MARCO TULIO FERNANDEZ (IED),ENGATIVA,776
111001016098,COLEGIO ALQUERIA DE LA FRAGUA (IED),KENNEDY,773
111001034011,COLEGIO JUAN REY (IED),SAN CRISTOBAL,769
111001012033,COLEGIO VEINTE DE JULIO (IED),SAN CRISTOBAL,754
111001016314,COLEGIO SIMON RODRIGUEZ (IED),CHAPINERO,752
111001030864,COLEGIO ALEMANIA UNIFICADA (IED),SAN CRISTOBAL,747
111850001380,COLEGIO EL CORTIJO - VIANEY (IED),USME,739
111001018309,COLEGIO ATENAS (IED),SAN CRISTOBAL,729
111001012971,COLEGIO RAFAEL DELGADO SALGUERO (IED),RAFAEL URIBE URIBE,724
111001013293,COLEGIO NACIONES UNIDAS (IED),ENGATIVA,717
111001013374,COLEGIO ESCUELA NACIONAL DE COMERCIO (IED),LA CANDELARIA,715
311001075034,COLEGIO CANADA (IED),CIUDAD BOLIVAR,715
111001035521,COLEGIO NESTOR FORERO ALCALA (IED),ENGATIVA,698
211850000981,COLEGIO EL UVAL (IED),USME,690
111001011088,COLEGIO REPUBLICA DE PANAMA (IED),BARRIOS UNIDOS,676
111001800562,COLEGIO JOSE EUSTASIO RIVERA (IED),USME,676
111001025313,COLEGIO LICEO NACIONAL AGUSTIN NIETO CABALLERO (IED),LOS MARTIRES,663
111001032395,COLEGIO REPUBLICA EE.UU. DE AMERICA (IED),RAFAEL URIBE URIBE,653
111001098868,COLEGIO LUIS EDUARDO MORA OSEJO (IED),USME,650
311001026441,COLEGIO LOS PINOS (IED),SANTA FE,647
111001014869,COLEGIO LUIS VARGAS TEJADA (IED),PUENTE ARANDA,593
111001801250,COLEGIO JAIME NIÃO DIEZ (IED),SUBA,585
111001014451,COLEGIO JOSE ACEVEDO Y GOMEZ (IED),SAN CRISTOBAL,583
211850000876,COLEGIO EL DESTINO (IED),USME,544
111001800660,COLEGIO CIUDAD CHENGDU (IED),USME,528
111001046663,COLEGIO VILLAMAR (IED),CIUDAD BOLIVAR,526
111001034665,COLEGIO SAN MARTIN DE PORRES (IED),CHAPINERO,526
111001800431,COLEGIO LAS MARGARITAS (IED),KENNEDY,520
111001800163,COLEGIO FILARMONICO JORGE MARIO BERGOGLIO (IED),SUBA,519
111001800392,COLEGIO SOLEDAD ACOSTA DE SAMPER (IED),BOSA,512
111001000612,COLEGIO FEMENINO LORENCITA VILLEGAS DE SANTOS (IED),BARRIOS UNIDOS,509
111001012556,COLEGIO ESPAÃA (IED),PUENTE ARANDA,505
111001102016,COLEGIO TECNICO ALDEMAR ROJAS PLAZAS (IED),SAN CRISTOBAL,504
111001014028,COLEGIO REPUBLICA FEDERAL DE ALEMANIA (IED),RAFAEL URIBE URIBE,498
111001800554,COLEGIO EMMA REYES (IED),KENNEDY,498
211850001473,COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED),SUMAPAZ,459
111001034002,COLEGIO GUILLERMO LEON VALENCIA (IED),ENGATIVA,458
111001014745,COLEGIO ANTONIO JOSE DE SUCRE (IED),PUENTE ARANDA,450
111001041599,COLEGIO MOTORISTA (CED),BOSA,379
111001094901,COLEGIO MANUEL ELKIN PATARROYO (IED),SANTA FE,375
111001104035,COLEGIO BOLIVIA (IED),ENGATIVA,365
211850001180,COLEGIO MOCHUELO ALTO (CED),CIUDAD BOLIVAR,340
111001014729,COLEGIO JOSE JOAQUIN CASAS (IED),PUENTE ARANDA,284
211001076346,COLEGIO CAMPESTRE JAIME GARZON (IED),SUMAPAZ,256
211001027485,COLEGIO EL VERJON (IED),SANTA FE,193
211850000108,COLEGIO RURAL OLARTE (CED),USME,164
111001012246,COLEGIO PANTALEON GAITAN PEREZ (CED),SAN CRISTOBAL,160
111001012475,COLEGIO AGUAS CLARAS (CED),SAN CRISTOBAL,134
111001011975,COLEGIO GRAN COLOMBIA (CED),SAN CRISTOBAL,89
211850000736,COLEGIO RURAL LA ARGENTINA (CED),USME,43
211850000884,COLEGIO RURAL EL HATO (CED),USME,31
211850000710,COLEGIO RURAL LOS ARRAYANES (CED),USME,20
211850001007,COLEGIO RURAL LA MAYORIA (CED),USME,20
211850000868,COLEGIO RURAL EL CURUBITAL (CED),USME,19
211850001074,COLEGIO RURAL LAS MERCEDES (CED),USME,19
211850000841,COLEGIO RURAL CHIZACA (CED),USME,11
211850000043,COLEGIO RURAL LA UNION USME (CED),USME,9
211850000698,COLEGIO RURAL LOS ANDES (CED),USME,7
