NOMBRE_UPZ_GRUPO,pct_pobreza_ipm,hogares_totales_estimados_emb,hogares_cs,cobertura_cs_por_1000_hogares
USME: Alfonso López + Ciudad Usme,16.510319508241558,25148.782425,2.0,0.07952671291202679
La Flora,15.266510428400162,6762.2346537,2.0,0.2957602186883129
Lourdes,14.0725886637028,13755.4432561,496.0,36.05845269871936
CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,13.000301334321549,18859.6727741,90.0,4.7720870387315015
Lucero,10.61856141031076,54244.1445129,841.0,15.503977573100055
USME: Parque Entrenubes + Danubio,10.16162974246939,18905.4349547,2.0,0.10578968454268695
San Isidro - Patios,10.089829261379526,5746.4876152,0.0,0.0
Diana Turbay,9.70775809292978,26469.7467675,1575.0,59.50189149273658
Marco Fidel Suárez,9.461298327986798,18328.1797866,1701.0,92.80790672097324
Patio Bonito,9.438807613564641,45151.6307428,5643.0,124.97887467552538
Corabastos,8.97432548818825,19196.0874471,2250.0,117.21138519505512
Jerusalén,8.950937509115652,30043.9708529,0.0,0.0
Bosa Occidental,8.110857445260244,62953.9199827,4733.0,75.18197439175587
Gran Yomasa,7.979313674559043,42792.7441114,5.0,0.11684223818373915
Ismael Perdomo,7.961446377165404,53011.8518088,969.0,18.278931350953965
Las Cruces,7.816092715701983,7607.6335994,117.0,15.379289561109722
San Francisco,7.723134737040802,22396.7022057,1775.0,79.25273925141799
Marruecos,6.939208057905014,38696.0752105,2412.0,62.33190283198321
Comuneros,6.837275078197283,32150.9146518,0.0,0.0
La Sabana,6.661553938380198,15417.8210895,0.0,0.0
Tunjuelito,6.542687906350678,14950.3681056,1504.0,100.59952968225863
El Porvenir,6.349558290328204,45759.3198101,4037.0,88.22246521044119
San Blas,6.064118743009833,33637.8635849,2105.0,62.57829052332956
Tintál Sur,5.889622044737478,34660.5380531,1116.0,32.19799987785205
Bosa Central,5.767920500427985,78827.0334094,7230.0,91.71980331227121
Los Libertadores,5.572754084622441,26393.7596647,2209.0,83.69402571147903
La Gloria,5.5489446103210325,33016.3081461,3352.0,101.52558502807499
Engativá,5.515550976463214,48220.2524725,3542.0,73.45461332911938
Gran Britalia,5.431424022220604,21367.5192611,1785.0,83.5380082352203
San Cristóbal Norte,5.126984712171579,25513.9816683,0.0,0.0
Quiroga,4.980775204254318,34690.2176919,16.0,0.4612251252529881
Apogeo,4.915616276408102,11491.6943662,734.0,63.872217325834995
La Macarena,4.544363421211652,4895.7765253,36.0,7.3532768119545695
El Rincón,4.533846470149163,99770.7388634,4660.0,46.70708118519788
Fontibón San Pablo,4.2829627751017485,11556.9839546,0.0,0.0
La Candelaria,4.262377751438857,7603.195214,6.0,0.7891419108839942
Tibabuyes,4.173610143979896,91657.8695669,7912.0,86.32101135871507
Calandaima,4.12853607068708,42668.406998,894.0,20.952270377516193
20 de Julio,4.088676495343334,26907.7645701,1375.0,51.10049169702877
